Sale Date,City,Zip Code,Year Built,Bed,Bath,Sale Price,Square Feet,Lot Size,$/SqFt,$/SF
2021-07-12,Portland,97230,1938,4,3.0,549000,3594,27007,152.75459098497495,152.75
2021-05-12,Fairview,97024,2003,3,3.0,436000,1652,4356,263.9225181598063,263.92
2021-05-13,Wood Village,97060,1943,3,1.0,387000,1008,7840,383.92857142857144,383.93
2021-05-12,Fairview,97024,1906,3,1.0,1537320,1448,33976,1061.6850828729282,1061.69
2021-05-12,Wood Village,97060,1943,2,1.0,315000,704,7405,447.4431818181818,447.44
2021-07-12,Gresham,97080,1994,3,3.0,480000,1698,6969,282.6855123674912,282.69
2021-05-12,Wood Village,97060,1972,4,4.0,630000,2144,12196,293.84328358208955,293.84
2021-05-07,Fairview,97024,1986,3,2.0,390000,1272,7840,306.60377358490564,306.6
2021-07-12,Gresham,97030,1999,4,3.0,625000,2607,8712,239.7391637897967,239.74
2021-05-06,Fairview,97024,1985,3,1.5,360000,1200,8001,300.0,300.0
2021-07-09,Gresham,97080,1958,4,3.0,590000,2220,13503,265.76576576576576,265.77
2021-05-04,Fairview,97024,1992,3,3.0,544000,1900,13068,286.3157894736842,286.32
2021-04-12,Wood Village,97060,1943,3,2.0,343100,1366,6969,251.17130307467056,251.17
2021-07-09,Gresham,97030,1977,3,3.0,535000,2187,9147,244.6273433927755,244.63
2021-07-09,Gresham,97030,1995,3,3.0,470000,1655,6098,283.987915407855,283.99
2021-02-18,Wood Village,97060,1943,3,1.0,335000,954,6969,351.1530398322851,351.15
2021-07-09,Portland,97236,1957,3,2.0,395000,1020,6969,387.2549019607843,387.25
2021-04-23,Fairview,97024,1992,2,2.0,365900,1568,10018,233.3545918367347,233.35
2021-02-15,Wood Village,97060,1943,2,1.0,316000,984,6098,321.1382113821138,321.14
2021-04-23,Fairview,97024,1997,3,3.0,468000,1804,12196,259.42350332594236,259.42
2021-01-10,Wood Village,97060,1991,3,2.0,327400,1312,4791,249.54268292682926,249.54
2021-07-09,Portland,97230,1955,3,2.0,406000,1588,9583,255.6675062972292,255.67
