ZIP_CODE,PO_NAME,STATE,zipCodePop,areaSqMile,PopDensity,MeaHHI
97834,Halfway,OR,594,266.371,2.229972482,49716
97828,Enterprise,OR,1858,860.543,2.159101869,77723
97712,Brothers,OR,2006,932.979,2.150101985,
97754,Prineville,OR,3606,1799.095,2.004341071,63255
97711,Ashwood,OR,929,472.936,1.964324983,91731
97630,Lakeview,OR,2660,1481.982,1.794893595,63825
97864,Monument,OR,705,413.282,1.705857018,49506
97843,Ione,OR,665,409.893,1.62237462,102428
97904,Drewsey,OR,1082,670.178,1.614496447,67481
97836,Heppner,OR,1715,1099.507,1.559789979,75765
97737,Gilchrist,OR,851,552.213,1.541072014,41420
97623,Bonanza,OR,1468,1051.34,1.396313276,61892
97907,Huntington,OR,483,421.37,1.146261006,52847
97823,Condon,OR,843,837.658,1.006377304,46496
97484,Tiller,OR,592,637.427,0.9287338,43725
97627,Keno,OR,650,701.142,0.927058998,69569
97750,Mitchell,OR,845,949.083,0.89033309,55531
97739,La Pine,OR,1201,1485.296,0.808593035,60857
97037,Maupin,OR,710,945.902,0.7506063,66820
97910,Jordan Valley,OR,756,4651.573,0.162525666,56393
