Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,ReportDate,OffenseCount
NE ROYAL CT / NE 47TH AVE,22-61476,Property,North Tabor,3/6/2022,1913,Motor Vehicle Theft,Motor Vehicle Theft,45.528487902,-122.614998914,3/6/2022,1
NE SACRAMENTO ST / NE 53RD AVE,22-908708,Property,Rose City Park,3/29/2022,0100,Vandalism,Vandalism,45.540019124,-122.608885113,3/29/2022,1
NE SACRAMENTO ST / NE 57TH AVE,22-902576,Property,Rose City Park,1/20/2022,0730,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.539935810,-122.604599103,1/26/2022,1
NE SANDY BLVD / I205 FWY NB,22-902610,Property,Parkrose,1/22/2022,2045,Vandalism,Vandalism,45.557396562,-122.566450659,1/27/2022,1
NE SANDY BLVD / NE 29TH AVE,22-902259,Property,Kerns,1/24/2022,0800,Vandalism,Vandalism,45.529847721,-122.635379189,1/24/2022,1
NE SANDY BLVD / NE 40TH AVE,22-903463,Property,Hollywood,2/6/2022,1500,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.535259943,-122.621950320,2/6/2022,1
NE SANDY BLVD / NE 41ST AVE,22-902155,Property,Hollywood,1/19/2022,1700,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.535676503,-122.620935254,1/23/2022,1
NE SANDY BLVD / NE 42ND AVE,22-24870,Property,Hollywood,1/27/2022,0140,Robbery,Robbery,45.536123213,-122.619921299,1/27/2022,1
NE SANDY BLVD / NE 42ND AVE,22-903509,Property,Hollywood,2/7/2022,1930,Vandalism,Vandalism,45.536123213,-122.619921299,2/7/2022,1
NE SANDY BLVD / NE 48TH AVE,22-10461,Property,Rose City Park,9/1/2021,0800,Motor Vehicle Theft,Motor Vehicle Theft,45.538779196,-122.613953460,1/12/2022,1
NE SANDY BLVD / NE 54TH AVE,22-3087,Property,Rose City Park,1/4/2022,1649,Vandalism,Vandalism,45.541012954,-122.607653146,1/4/2022,1
NE SANDY BLVD / NE 64TH AVE,22-50307,Person,Rose City Park,2/23/2022,0213,Assault Offenses,Simple Assault,45.545039327,-122.597369704,2/23/2022,1
NE SANDY BLVD / NE 66TH AVE,22-904165,Property,Roseway,12/13/2021,1205,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.545831017,-122.595329523,2/10/2022,1
NE SANDY BLVD / NE 100TH AVE,22-51091,Society,Parkrose,2/23/2022,1843,Drug/Narcotic Offenses,Drug/Narcotic Violations,45.559296900,-122.559775096,2/23/2022,1
NE SANDY BLVD / NE 100TH AVE,22-51091,Society,Parkrose,2/23/2022,1843,Weapon Law Violations,Weapons Law Violations,45.559296900,-122.559775096,2/23/2022,1
NE SANDY BLVD / NE 101ST AVE,22-45462,Property,Parkrose,2/17/2022,1637,Fraud Offenses,Identity Theft,45.559207866,-122.558772063,2/17/2022,1
NE SANDY BLVD / NE 147TH AVE,22-68771,Property,Argay,3/14/2022,0800,Motor Vehicle Theft,Motor Vehicle Theft,45.552557536,-122.511186754,3/14/2022,1
NE SANDY BLVD / NE 147TH AVE,22-77648,Property,Argay,3/23/2022,0835,Motor Vehicle Theft,Motor Vehicle Theft,45.552557536,-122.511186754,3/23/2022,1
NE SANDY BLVD / NE 148TH AVE,22-55387,Property,Wilkes,2/24/2022,1437,Motor Vehicle Theft,Motor Vehicle Theft,45.552411127,-122.510302952,2/28/2022,1
NE SANDY BLVD / NE 162ND AVE,22-7882,Person,Wilkes,1/9/2022,2046,Assault Offenses,Aggravated Assault,45.549511912,-122.495936250,1/9/2022,1
NE SANDY BLVD / NE 162ND AVE,22-10609,Property,Wilkes,1/8/2022,1100,Motor Vehicle Theft,Motor Vehicle Theft,45.549511912,-122.495936250,1/12/2022,1
NE SANDY BLVD / NE 162ND AVE,22-900062,Property,Wilkes,1/4/2022,2050,Larceny Offenses,All Other Larceny,45.549511912,-122.495936250,1/5/2022,1
NE SANDY BLVD / NE GLISAN ST,22-907383,Property,Kerns,3/15/2022,2300,Vandalism,Vandalism,45.526699259,-122.643418746,3/16/2022,1
NE SANDY BLVD / NE HOYT ST,22-58356,Property,Kerns,3/2/2022,2000,Motor Vehicle Theft,Motor Vehicle Theft,45.527110599,-122.642399882,3/3/2022,1
NE SHAVER ST / NE 38TH AVE,22-908282,Property,Beaumont-Wilshire,3/24/2022,0325,Vandalism,Vandalism,45.551796325,-122.624439162,3/24/2022,1
NE SHAVER ST / NE 125TH PL,22-12892,Property,Argay,1/14/2022,2044,Vandalism,Vandalism,45.551786027,-122.534608444,1/14/2022,1
NE SHAVER ST / NE 125TH PL,22-50358,Property,Argay,2/23/2022,0439,Vandalism,Vandalism,45.551786027,-122.534608444,2/23/2022,1
NE SHAVER ST / NE CESAR E CHAVEZ BLVD,22-906054,Property,Beaumont-Wilshire,3/2/2022,0935,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.551801361,-122.623424039,3/2/2022,1
NE SHAVER ST / NE REGENTS DR,22-907711,Property,Alameda,3/19/2022,0800,Larceny Offenses,Theft From Motor Vehicle,45.551792137,-122.633850176,3/19/2022,1
NE SIMPSON ST / NE 60TH AVE,22-75511,Person,Cully,3/21/2022,0640,Assault Offenses,Aggravated Assault,45.565105832,-122.600826129,3/21/2022,1
NE SIMPSON ST / NE 60TH AVE,22-75511,Person,Cully,3/21/2022,0640,Assault Offenses,Simple Assault,45.565105832,-122.600826129,3/21/2022,1
NE SIMPSON ST / NE 60TH AVE,22-75511,Property,Cully,3/21/2022,0640,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.565105832,-122.600826129,3/21/2022,1
NE SIMPSON ST / NE MARTIN LUTHER KING JR BLVD,22-904540,Property,King,12/24/2021,1200,Fraud Offenses,Credit Card/ATM Fraud,45.565533146,-122.661412269,2/15/2022,1
NE SIMPSON ST / NE PORTLAND HWY,22-905982,Property,Cully,2/24/2022,0300,Motor Vehicle Theft,Motor Vehicle Theft,45.565154702,-122.596043173,3/1/2022,1
NE SISKIYOU ST / NE 70TH AVE,22-908848,Property,Roseway,3/9/2022,1125,Larceny Offenses,Theft From Motor Vehicle,45.545317738,-122.590972608,3/30/2022,1
NE SISKIYOU ST / NE 82ND AVE,22-28368,Society,Madison South,1/30/2022,1840,Prostitution Offenses,Prostitution,45.544517478,-122.578823577,1/30/2022,1
NE SISKIYOU ST / NE 82ND AVE,22-42487,Society,Madison South,2/14/2022,1951,Prostitution Offenses,Prostitution,45.544517478,-122.578823577,2/14/2022,1
