Sale Date,City,Zip Code,Year Built,Bed,Bath,Sale Price,Square Feet,Lot Size,Zip Population,Zip SqMi,Zip Pop Density,Zip Mean HHI
2021-06-22,Gresham,97080,2017,4,3.0,570000,2508,4791,31446,23.246,1352.74886,97765.0
2021-06-22,Gresham,97080,1984,3,2.0,470000,1742,10890,31446,23.246,1352.74886,97765.0
2021-06-22,Gresham,97080,2014,4,3.0,610000,2895,5662,31446,23.246,1352.74886,97765.0
2021-05-06,Gresham,97080,2000,4,3.0,295000,2160,4791,31446,23.246,1352.74886,97765.0
2021-06-22,Gresham,97080,1976,4,3.0,560000,2346,9583,31446,23.246,1352.74886,97765.0
2021-05-06,Gresham,97080,2002,3,2.0,436000,1946,5662,31446,23.246,1352.74886,97765.0
2021-06-20,Gresham,97080,1979,3,3.0,459000,1929,10018,31446,23.246,1352.74886,97765.0
2021-05-04,Gresham,97080,1981,3,2.0,375000,1040,11761,31446,23.246,1352.74886,97765.0
2021-06-20,Gresham,97080,1984,3,3.0,450000,1711,7840,31446,23.246,1352.74886,97765.0
2021-04-29,Gresham,97080,1986,3,2.0,390400,1330,10018,31446,23.246,1352.74886,97765.0
2021-06-20,Gresham,97080,1990,3,3.0,451000,1600,8712,31446,23.246,1352.74886,97765.0
2021-04-28,Gresham,97080,2002,4,3.0,525000,2346,5662,31446,23.246,1352.74886,97765.0
2021-04-26,Gresham,97080,1994,3,2.0,490000,1903,10018,31446,23.246,1352.74886,97765.0
2021-06-17,Gresham,97080,1908,4,4.0,759900,3225,98445,31446,23.246,1352.74886,97765.0
2021-06-17,Gresham,97080,2004,3,2.0,284000,970,2178,31446,23.246,1352.74886,97765.0
2021-06-17,Gresham,97080,1979,3,2.0,375000,1356,7500,31446,23.246,1352.74886,97765.0
2021-04-20,Gresham,97080,1981,4,2.0,480000,2249,10890,31446,23.246,1352.74886,97765.0
2021-06-17,Gresham,97080,1978,6,3.0,519000,2436,10454,31446,23.246,1352.74886,97765.0
2021-04-15,Gresham,97080,1982,5,3.0,545000,2780,11325,31446,23.246,1352.74886,97765.0
2021-04-12,Gresham,97080,1999,3,3.0,511000,2018,9147,31446,23.246,1352.74886,97765.0
2021-06-17,Gresham,97080,2018,4,3.0,532000,2102,6969,31446,23.246,1352.74886,97765.0
2021-04-09,Gresham,97080,1955,3,2.0,385000,1304,12632,31446,23.246,1352.74886,97765.0
2021-06-17,Gresham,97080,1979,3,2.0,458000,1590,10454,31446,23.246,1352.74886,97765.0
2021-06-17,Gresham,97080,1996,4,3.0,578900,2543,6969,31446,23.246,1352.74886,97765.0
2021-04-09,Gresham,97080,1995,3,5.0,1200000,4368,57063,31446,23.246,1352.74886,97765.0
2021-06-17,Gresham,97080,1905,3,2.0,435000,2140,7840,31446,23.246,1352.74886,97765.0
2021-04-09,Gresham,97080,2004,4,3.0,469000,1967,3920,31446,23.246,1352.74886,97765.0
2021-06-17,Gresham,97080,1976,3,3.0,435000,1964,7840,31446,23.246,1352.74886,97765.0
2021-04-08,Gresham,97080,1952,4,2.0,635000,2375,121096,31446,23.246,1352.74886,97765.0
2021-04-08,Gresham,97080,1988,4,3.0,480000,2020,6969,31446,23.246,1352.74886,97765.0
2021-04-06,Gresham,97080,1953,5,3.0,350000,2367,12632,31446,23.246,1352.74886,97765.0
2021-06-15,Gresham,97080,1953,3,1.5,450000,1746,21344,31446,23.246,1352.74886,97765.0
2021-04-01,Gresham,97080,2001,4,3.0,474000,2085,4791,31446,23.246,1352.74886,97765.0
2021-06-15,Gresham,97080,1973,3,2.0,500000,2040,11761,31446,23.246,1352.74886,97765.0
2021-04-01,Gresham,97080,1946,3,1.0,500000,1289,18730,31446,23.246,1352.74886,97765.0
2021-06-15,Gresham,97080,2007,4,3.0,530000,2166,6098,31446,23.246,1352.74886,97765.0
2021-03-31,Gresham,97080,2013,3,3.0,520000,2158,5227,31446,23.246,1352.74886,97765.0
2021-03-29,Gresham,97080,2000,4,3.0,465000,1910,7405,31446,23.246,1352.74886,97765.0
2021-06-14,Gresham,97080,2019,3,3.0,436000,1497,3484,31446,23.246,1352.74886,97765.0
2021-03-23,Gresham,97080,1982,4,3.0,7008500,2372,818094,31446,23.246,1352.74886,97765.0
2021-03-23,Gresham,97080,2005,3,2.0,420000,1714,5662,31446,23.246,1352.74886,97765.0
2021-06-14,Gresham,97080,1977,3,3.0,550000,1964,7840,31446,23.246,1352.74886,97765.0
2021-03-21,Gresham,97080,2003,4,3.0,440000,1923,4791,31446,23.246,1352.74886,97765.0
2021-06-14,Gresham,97080,1963,2,1.0,311000,912,17859,31446,23.246,1352.74886,97765.0
2021-06-11,Gresham,97080,1983,3,2.0,405000,1082,8276,31446,23.246,1352.74886,97765.0
