,Sale Date,Home Type,City,Zip Code,Year Built,Bed,Bath,Sale Price,Property Tax Rate,Square Feet,Lot Size
201,2020-08-11,Single Family,Gresham,97030,1973,3,2.0,300000,1.12,1564,7405
202,2020-08-13,Single Family,Portland,97230,1966,3,2.0,355000,1.12,1406,7405
203,2020-08-13,Single Family,Portland,97230,1952,3,2.0,263000,1.12,1556,16988
204,2020-08-18,Single Family,Gresham,97030,1969,3,1.0,320000,1.12,1122,7405
205,2020-08-18,Single Family,Gresham,97030,1971,3,1.0,320000,1.12,1209,12196
206,2020-08-18,Single Family,Gresham,97030,1986,3,3.0,410000,1.12,1760,6969
207,2020-08-18,Single Family,Gresham,97030,2003,3,2.0,410500,1.12,1690,6534
209,2020-08-19,Single Family,Portland,97230,1986,3,2.0,470000,1.12,2124,12632
210,2020-08-19,Single Family,Portland,97230,1967,3,2.0,370000,1.12,1374,6969
212,2020-08-21,Single Family,Gresham,97030,1964,4,2.0,385000,1.12,1829,8300
214,2020-08-24,Single Family,Portland,97230,1962,3,1.0,350000,1.12,1246,7840
215,2020-08-21,Single Family,Portland,97230,1967,4,3.0,422000,1.12,1988,8712
216,2020-08-24,Single Family,Gresham,97030,1967,3,2.0,365000,1.12,1916,8712
219,2020-08-27,Single Family,Portland,97233,2000,3,3.0,378000,1.12,1770,5662
223,2020-09-04,Single Family,Gresham,97030,1950,2,1.0,275000,1.12,684,7405
224,2020-09-09,Single Family,Portland,97230,1971,4,3.0,390000,1.12,1989,7405
225,2020-09-10,Single Family,Portland,97233,1996,3,2.0,342000,1.12,1196,5227
226,2020-09-10,Single Family,Gresham,97030,1985,3,2.0,375000,1.12,1537,8800
229,2020-09-16,Single Family,Gresham,97030,1968,3,2.0,350000,1.12,1392,10890
230,2020-09-18,Single Family,Portland,97230,1955,2,2.0,260000,1.12,982,23086
231,2020-09-18,Single Family,Portland,97230,1973,3,3.0,400000,1.12,1740,7840
232,2020-09-18,Single Family,Gresham,97030,1968,3,2.0,330000,1.12,1212,7405
233,2020-09-18,Single Family,Portland,97233,1958,3,3.0,349900,1.12,2090,6969
234,2020-09-18,Single Family,Portland,97230,1995,3,2.0,445000,1.12,1994,6969
235,2020-09-24,Single Family,Portland,97230,1976,3,2.0,399000,1.12,2933,11761
236,2020-09-24,Single Family,Gresham,97030,2003,3,2.0,340000,1.12,1100,5227
237,2020-09-21,Single Family,Portland,97230,2002,4,2.5,175000,1.12,2678,5295
238,2020-09-21,Single Family,Portland,97230,1969,5,4.0,465000,1.12,2138,8276
239,2020-09-27,Single Family,Gresham,97030,1975,3,3.0,395777,1.12,2023,8712
240,2020-09-27,Single Family,Gresham,97030,1972,3,2.0,349900,1.12,1048,7405
241,2020-09-29,Single Family,Gresham,97030,1972,3,2.0,406000,1.12,1558,10890
242,2020-09-27,Single Family,Portland,97233,1962,4,2.0,350000,1.12,1200,10454
244,2020-09-29,Single Family,Gresham,97030,1975,3,2.0,304000,1.12,1571,3920
246,2020-10-07,Single Family,Portland,97230,1957,3,1.0,320000,1.12,922,9147
248,2020-10-08,Single Family,Portland,97230,1970,5,2.5,240000,1.12,2114,7004
249,2020-10-08,Single Family,Portland,97230,2015,3,3.0,380000,1.12,1629,2178
250,2020-10-08,Single Family,Gresham,97030,1991,3,2.0,429500,1.12,1771,7405
251,2020-10-08,Single Family,Gresham,97030,1973,3,2.0,255000,1.12,1184,6969
252,2020-10-08,Single Family,Gresham,97030,1973,3,2.0,392000,1.12,1518,9583
254,2020-10-13,Single Family,Gresham,97030,1992,3,2.0,451000,1.12,1879,7840
256,2020-10-16,Single Family,Portland,97230,1965,3,2.0,359900,1.12,1570,8276
258,2020-10-16,Single Family,Portland,97230,1943,2,1.0,281000,1.12,750,4356
259,2020-10-19,Single Family,Gresham,97030,1962,3,1.0,337000,1.12,1295,15000
260,2020-10-16,Single Family,Portland,97233,1994,3,2.0,366000,1.12,1301,6098
261,2020-10-21,Single Family,Portland,97233,1949,3,1.0,267000,1.12,1040,3484
263,2020-10-21,Single Family,Portland,97230,1952,2,1.0,245000,1.12,914,20908
267,2020-10-22,Single Family,Gresham,97030,1975,3,2.0,387000,1.12,1765,8276
268,2020-10-22,Single Family,Gresham,97030,1970,3,2.0,352000,1.12,1480,6969
269,2020-10-22,Single Family,Portland,97233,1958,4,2.0,370000,1.12,1222,6969
271,2020-10-25,Single Family,Gresham,97030,1968,3,2.0,360000,1.12,1240,7405
272,2020-10-27,Single Family,Gresham,97030,1968,3,2.0,370000,1.12,1570,7840
275,2020-10-27,Single Family,Portland,97230,1976,4,3.0,435000,1.12,2286,8712
276,2020-10-30,Single Family,Portland,97230,2002,4,3.0,422000,1.12,2206,5227
277,2020-10-30,Single Family,Portland,97233,1959,5,2.0,390000,1.12,1920,7405
278,2020-10-30,Single Family,Portland,97230,1974,8,4.0,525000,1.12,3028,8712
279,2020-11-02,Single Family,Portland,97230,1957,3,1.0,329000,1.12,1227,9300
280,2020-11-04,Single Family,Gresham,97030,1965,3,1.0,335000,1.12,960,6969
285,2020-11-13,Single Family,Portland,97233,1968,3,2.0,385000,1.12,1420,8276
286,2020-11-13,Single Family,Gresham,97030,1973,3,1.0,327000,1.12,920,6969
287,2020-11-15,Single Family,Gresham,97030,1966,3,1.0,318000,1.12,1118,8276
288,2020-11-15,Single Family,Gresham,97030,2008,5,3.0,415000,1.12,2470,4791
289,2020-11-13,Single Family,Portland,97230,1963,4,2.0,395000,1.12,2008,7405
290,2020-11-18,Single Family,Portland,97230,1989,3,3.0,498000,1.12,2165,9147
291,2020-11-18,Single Family,Portland,97230,1981,4,3.0,490000,1.12,2330,10454
292,2020-11-18,Single Family,Portland,97233,1958,3,2.0,360000,1.12,1222,6969
294,2020-11-18,Single Family,Gresham,97030,1971,4,2.0,450000,1.12,2196,7405
295,2020-11-18,Single Family,Portland,97233,1958,4,1.0,40000,1.12,1300,10454
296,2020-11-19,Single Family,Portland,97230,1963,3,1.0,175000,1.12,1560,9500
297,2020-11-19,Single Family,Portland,97230,2007,4,3.0,474000,1.12,1852,4791
298,2020-11-19,Single Family,Gresham,97030,1975,3,2.0,375000,1.12,1440,7405
299,2020-11-19,Single Family,Portland,97230,1976,3,2.0,375000,1.12,1560,7840
300,2020-11-19,Single Family,Gresham,97030,1967,3,2.0,289000,1.12,1304,10454
301,2020-11-23,Single Family,Portland,97230,1981,4,3.0,431000,1.12,2025,8712
302,2020-11-23,Single Family,Portland,97230,1971,3,1.0,345000,1.12,1534,7405
303,2020-11-24,Single Family,Gresham,97030,1975,3,2.0,409000,1.12,1906,7405
304,2020-11-24,Single Family,Gresham,97030,2003,4,3.0,470000,1.12,2339,6098
305,2020-11-24,Single Family,Portland,97233,2007,4,3.0,377500,1.12,1713,3049
306,2020-11-24,Single Family,Portland,97233,1974,3,2.0,325000,1.12,1008,6969
307,2020-11-29,Single Family,Gresham,97030,2003,3,3.0,430000,1.12,2051,5227
308,2020-11-29,Single Family,Gresham,97030,1967,3,1.0,346000,1.12,924,9147
309,2020-11-29,Single Family,Gresham,97030,1973,3,1.0,330000,1.12,1194,8276
310,2020-11-29,Single Family,Gresham,97030,2001,3,3.0,375000,1.12,1462,6969
312,2020-12-02,Single Family,Portland,97230,1961,4,2.0,415000,1.12,1624,8712
313,2020-11-30,Single Family,Portland,97230,1976,3,2.0,365000,1.12,1256,7405
314,2020-12-02,Single Family,Gresham,97030,1972,4,2.0,345000,1.12,1131,7405
315,2020-11-30,Single Family,Gresham,97030,1984,3,2.0,360000,1.12,1306,7840
316,2020-12-04,Single Family,Gresham,97030,1981,3,2.0,345000,1.12,1104,7405
317,2020-12-02,Single Family,Gresham,97030,1992,3,2.0,415000,1.12,1527,9147
